Date,Bike,Car,Lorry,speed_00,speed_10,speed_20,speed_30,speed_40,speed_50,speed_60
2020-06-11 16:00:00+00,0,24,0,12,12,,,,,
2020-06-16 10:00:00+00,63,682,0,210,242,158,53,11,11,
2020-06-16 11:00:00+00,56,747,0,131,230,266,92,11,4,4
2020-06-16 12:00:00+00,45,539,0,171,92,168,68,15,13,8
2020-06-16 14:00:00+00,125,820,0,322,365,102,15,8,5,3
2020-06-16 15:00:00+00,128,746,0,277,313,126,17,7,,
2020-06-16 16:00:00+00,79,769,0,249,344,143,18,3,3,2
2020-06-16 17:00:00+00,40,617,0,85,194,270,60,7,3,
2020-06-16 18:00:00+00,40,315,0,41,124,122,23,3,,2
2020-06-16 19:00:00+00,33,236,0,7,33,125,27,14,7,14
2020-06-17 03:00:00+00,21,135,0,11,42,21,42,21,,
2020-06-17 04:00:00+00,24,276,0,52,79,87,39,11,4,2
2020-06-17 05:00:00+00,78,662,0,85,145,283,118,14,4,6
2020-06-17 06:00:00+00,87,658,0,94,169,250,106,14,14,5
2020-06-17 07:00:00+00,106,791,0,139,280,263,72,15,12,5
2020-06-17 08:00:00+00,64,654,0,250,172,157,34,14,13,6
2020-06-17 09:00:00+00,127,834,0,328,261,148,42,21,16,9
2020-06-17 10:00:00+00,124,868,0,227,291,232,67,16,16,9
2020-06-17 11:00:00+00,74,726,0,124,242,259,74,8,10,2
2020-06-17 12:00:00+00,57,760,0,270,180,219,59,9,5,9
2020-06-17 13:00:00+00,83,920,0,325,333,193,44,14,9,5
2020-06-17 14:00:00+00,123,791,0,346,261,154,19,2,2,3
2020-06-17 15:00:00+00,103,707,0,288,278,120,11,3,,
2020-06-17 16:00:00+00,103,725,0,227,284,163,39,5,,8
2020-06-17 17:00:00+00,52,625,0,109,203,248,49,5,3,5
2020-06-17 18:00:00+00,56,404,0,39,142,178,40,6,,
2020-06-17 19:00:00+00,21,254,0,21,67,129,25,4,4,
2020-06-18 06:00:00+00,100,666,0,115,220,241,73,9,2,4
2020-06-18 07:00:00+00,150,676,0,138,240,228,43,10,2,12
2020-06-18 16:00:00+00,110,686,0,230,322,112,16,2,,2
2020-06-18 17:00:00+00,68,628,0,124,202,256,35,3,3,2
2020-06-18 18:00:00+00,44,465,0,36,162,202,47,6,3,6
2020-06-18 19:00:00+00,42,272,0,18,94,104,47,,8,
2020-06-19 03:00:00+00,20,93,0,,11,21,42,11,,
2020-06-19 04:00:00+00,34,304,0,42,91,91,54,16,4,4
2020-06-19 05:00:00+00,85,634,0,62,153,275,117,19,3,5
2020-06-19 06:00:00+00,116,690,0,143,213,212,83,24,7,2
2020-06-19 07:00:00+00,111,702,0,179,194,245,67,9,2,5
2020-06-19 08:00:00+00,79,665,0,252,126,179,43,27,14,7
2020-06-19 09:00:00+00,68,616,0,309,178,81,25,7,6,9
